namevariant,preflabel,coords,wikidata,atlasofmutualheritage
"fort Slingerlandt","Slingerland, fort","Point(-6.12208 106.84)",http://www.wikidata.org/entity/Q104534284,https://www.atlasofmutualheritage.nl/en/Slingerland-fort.9321c
"fort Selingerlandt","Slingerland, fort","Point(-6.12208 106.84)",http://www.wikidata.org/entity/Q104534284,https://www.atlasofmutualheritage.nl/en/Slingerland-fort.9321c
"rivier Demerara","Demerara, rivier","Point(6.77885 -58.1821)",http://www.wikidata.org/entity/Q1185369,https://www.atlasofmutualheritage.nl/en/Demerara-River.9341p
Essequibo,Essequibo,"Point(6.79055 -58.525)",,https://www.atlasofmutualheritage.nl/en/Essequibo.9345p
Essequibo,Essequibo,"Point(6.79055 -58.525)",,https://www.atlasofmutualheritage.nl/en/Essequibo.9345p
"Waterkasteel (Jakarta)","Waterkasteel (Jakarta)","Point(-6.11528 106.806)",http://www.wikidata.org/entity/Q104534285,https://www.atlasofmutualheritage.nl/en/Waterkasteel-(Jakarta).9347c
Waterfort,"Waterkasteel (Jakarta)","Point(-6.11528 106.806)",http://www.wikidata.org/entity/Q104534285,https://www.atlasofmutualheritage.nl/en/Waterkasteel-(Jakarta).9347c
"Kota Laut","Waterkasteel (Jakarta)","Point(-6.11528 106.806)",http://www.wikidata.org/entity/Q104534285,https://www.atlasofmutualheritage.nl/en/Waterkasteel-(Jakarta).9347c
"Kota Laoet","Waterkasteel (Jakarta)","Point(-6.11528 106.806)",http://www.wikidata.org/entity/Q104534285,https://www.atlasofmutualheritage.nl/en/Waterkasteel-(Jakarta).9347c
"Pomeroon rivier","Pomeroon rivier","Point(7.60966 -58.7489)",http://www.wikidata.org/entity/Q1535385,https://www.atlasofmutualheritage.nl/en/Pomeroon-River.9365p
"Pomeroon rivier","Pomeroon rivier","Point(7.60966 -58.7489)",http://www.wikidata.org/entity/Q1535385,https://www.atlasofmutualheritage.nl/en/Pomeroon-River.9365p
Berbice,Berbice,"Point(6.24412 -57.5163)",,https://www.atlasofmutualheritage.nl/en/Berbice.9425p
Gibraltar,Gibraltar,"Point(36.126 -5.3454)",http://www.wikidata.org/entity/Q1410,https://www.atlasofmutualheritage.nl/en/Gibraltar.9624p
"Canarische Eilanden","Canarische Eilanden","Point(28.3874 -16.4828)",http://www.wikidata.org/entity/Q5813,https://www.atlasofmutualheritage.nl/en/Canary-Islands.9625p
Azoren,Azoren,"Point(38.5022 -28.3738)",,https://www.atlasofmutualheritage.nl/en/Azores.9626p
Kaapverdië,Kaapverdië,"Point(15.1034 -23.6261)",,https://www.atlasofmutualheritage.nl/en/Cape-Verde.9630p
"Trindade en Martim Vaz","Trindade en Martim Vaz","Point(-20.5097 -29.3268)",http://www.wikidata.org/entity/Q241478,https://www.atlasofmutualheritage.nl/en/Trindade-Martin-Vaz.9636p
"Tristan da Cunha eilanden","Tristan da Cunha eilanden","Point(-37.1067 -12.2914)",,https://www.atlasofmutualheritage.nl/en/Tristan-da-Cunha-Islands.9638p
"Tristan De Acunha eilanden","Tristan da Cunha eilanden","Point(-37.1067 -12.2914)",,https://www.atlasofmutualheritage.nl/en/Tristan-da-Cunha-Islands.9638p
"Ferdonando d'Noronho eiland","Ferdonando d'Noronho eiland","Point(-3.85464 -32.4268)",,https://www.atlasofmutualheritage.nl/en/Ferdonando-dNoronho-Island.9640p
"Ferdonando de Noronha eiland","Ferdonando d'Noronho eiland","Point(-3.85464 -32.4268)",,https://www.atlasofmutualheritage.nl/en/Ferdonando-dNoronho-Island.9640p
"Gonçalo Álvares eiland","Gonçalo Álvares eiland","Point(-40.3135 -9.93688)",http://www.wikidata.org/entity/Q505935,https://www.atlasofmutualheritage.nl/en/Gough-Island.9642p
