namevariant,preflabel,coords,wikidata,atlasofmutualheritage
"fort Elsenburgh","Elfsborg, fort (Salem)","Point(39.5483 -75.5256)",http://www.wikidata.org/entity/Q104534253,https://www.atlasofmutualheritage.nl/en/Elfsborg-fort-(Salem).8883c
"fort Elsenburch","Elfsborg, fort (Salem)","Point(39.5483 -75.5256)",http://www.wikidata.org/entity/Q104534253,https://www.atlasofmutualheritage.nl/en/Elfsborg-fort-(Salem).8883c
"fort Älfsborg","Elfsborg, fort (Salem)","Point(39.5483 -75.5256)",http://www.wikidata.org/entity/Q104534253,https://www.atlasofmutualheritage.nl/en/Elfsborg-fort-(Salem).8883c
"fort Myggenborgh","Elfsborg, fort (Salem)","Point(39.5483 -75.5256)",http://www.wikidata.org/entity/Q104534253,https://www.atlasofmutualheritage.nl/en/Elfsborg-fort-(Salem).8883c
"Vasa Nya","Nya, Vasa, fort (Philadelphia)","Point(39.9132 -75.2157)",http://www.wikidata.org/entity/Q104534254,https://www.atlasofmutualheritage.nl/en/Nya-Vasa-fort-(Philadelphia).8884c
"fort Nya Wasa","Nya, Vasa, fort (Philadelphia)","Point(39.9132 -75.2157)",http://www.wikidata.org/entity/Q104534254,https://www.atlasofmutualheritage.nl/en/Nya-Vasa-fort-(Philadelphia).8884c
"fort (Beeren Island) Rensselaersstein","Rensselaersstein, fort (Beeren Island)","Point(42.4643 -73.7855)",http://www.wikidata.org/entity/Q104534255,https://www.atlasofmutualheritage.nl/en/Rensselaersstein-fort-(Beeren-Island).8885c
"fort Rensselaerssteyn","Rensselaersstein, fort (Beeren Island)","Point(42.4643 -73.7855)",http://www.wikidata.org/entity/Q104534255,https://www.atlasofmutualheritage.nl/en/Rensselaersstein-fort-(Beeren-Island).8885c
"fort Rensselaers ste[ijn]","Rensselaersstein, fort (Beeren Island)","Point(42.4643 -73.7855)",http://www.wikidata.org/entity/Q104534255,https://www.atlasofmutualheritage.nl/en/Rensselaersstein-fort-(Beeren-Island).8885c
"fort Redoubt at the Fifth Kill","Redoubt at the Fifth Kill, fort","Point(42.6597 -73.7374)",http://www.wikidata.org/entity/Q104534256,https://www.atlasofmutualheritage.nl/en/Redoubt-Fifth-Kill-fort.8886c
"fort Beverwijck","Beverwijck, fort (Albany)","Point(42.6488 -73.7508)",http://www.wikidata.org/entity/Q104534257,https://www.atlasofmutualheritage.nl/en/Beverwijck-fort-(Albany).8887c
"stenen fort bij Kinderhook","Kinderhook, stenen fort bij","Point(42.3987 -73.7817)",http://www.wikidata.org/entity/Q104534258,https://www.atlasofmutualheritage.nl/en/Kinderhook-stone-fort-at.8888c
"fort Kingston","Kingston, fort","Point(41.9309 -74.0185)",http://www.wikidata.org/entity/Q104534259,https://www.atlasofmutualheritage.nl/en/Kingston-fort.8889c
